\,Name,GHG Emissions 2020,GHG Emissions 2019,Revenue 2020,Revenue 2019,Share Number 2020,Share Number 2019,Price 2020,Price 2019,Debt 2020,Debt 2019,EBIT 2020,EBIT 2020
2018-HK,AAC Technologies Holdings Inc.,,,,,,,,,,,,
1299-HK,AIA Group Limited,,,,,,,,,,,,
9988-HK,Alibaba Group Holding Ltd.,,,,,,,,,,,,
241-HK,Alibaba Health Information Technology Ltd.,,,,,,,,,,,,
2020-HK,ANTA Sports Products Ltd.,,,,,,,,,,,,
3988-HK,Bank of China Limited Class H,,,,,,,,,,,,
2388-HK,BOC Hong Kong (Holdings) Limited,,,,,,,,,,,,
1876-HK,Budweiser Brewing Co. APAC Ltd.,,,,,,,,,,,,
1211-HK,BYD Company Limited Class H,,,,,,,,,,,,
939-HK,China Construction Bank Corporation Class H,,,,,,,,,,,,
2628-HK,China Life Insurance Co. Ltd. Class H,,,,,,,,,,,,
2319-HK,China Mengniu Dairy Co. Ltd.,,,,,,,,,,,,
3968-HK,China Merchants Bank Co. Ltd. Class H,,,,,,,,,,,,
941-HK,China Mobile Limited,,,,,,,,,,,,
688-HK,China Overseas Land & Investment Limited,,,,,,,,,,,,
386-HK,China Petroleum & Chemical Corporation Class H,,,,,,,,,,,,
1109-HK,China Resources Land Limited,,,,,,,,,,,,
762-HK,China Unicom (Hong Kong) Limited,,,,,,,,,,,,
267-HK,CITIC Limited,,,,,,,,,,,,
1113-HK,CK Asset Holdings Limited,,,,,,,,,,,,
1-HK,CK Hutchison Holdings Ltd,,,,,,,,,,,,
1038-HK,CK Infrastructure Holdings Limited,,,,,,,,,,,,
2-HK,CLP Holdings Limited,,,,,,,,,,,,
883-HK,CNOOC Limited,,,,,,,,,,,,
2007-HK,Country Garden Holdings Co. Ltd.,,,,,,,,,,,,
6098-HK,Country Garden Services Holdings Co. Ltd.,,,,,,,,,,,,
1093-HK,CSPC Pharmaceutical Group Limited,,,,,,,,,,,,
27-HK,Galaxy Entertainment Group Limited,,,,,,,,,,,,
175-HK,Geely Automobile Holdings Limited,,,,,,,,,,,,
6862-HK,Haidilao International Holding Ltd.,,,,,,,,,,,,
101-HK,Hang Lung Properties Limited,,,,,,,,,,,,
11-HK,Hang Seng Bank Limited,,,,,,,,,,,,
12-HK,Henderson Land Development Co. Ltd.,,,,,,,,,,,,
1044-HK,Hengan International Group Co. Ltd.,,,,,,,,,,,,
3-HK,Hong Kong & China Gas Co. Ltd.,,,,,,,,,,,,
388-HK,Hong Kong Exchanges & Clearing Ltd.,,,,,,,,,,,,
5-HK,HSBC Holdings Plc,,,,,,,,,,,,
1398-HK,Industrial and Commercial Bank of China Limited Class H,,,,,,,,,,,,
2331-HK,Li Ning Company Limited,,,,,,,,,,,,
823-HK,Link Real Estate Investment Trust,,,,,,,,,,,,
960-HK,Longfor Group Holdings Ltd.,,,,,,,,,,,,
3690-HK,Meituan Class B,,,,,,,,,,,,
66-HK,MTR Corporation Limited,,,,,,,,,,,,
17-HK,New World Development Co. Ltd.,,,,,,,,,,,,
857-HK,PetroChina Company Limited Class H,,,,,,,,,,,,
2318-HK,Ping An Insurance (Group) Company of China Ltd. Class H,,,,,,,,,,,,
6-HK,Power Assets Holdings Limited,,,,,,,,,,,,
1928-HK,Sands China Ltd.,,,,,,,,,,,,
2313-HK,Shenzhou International Group Holdings Limited,,,,,,,,,,,,
1177-HK,Sino Biopharmaceutical Limited,,,,,,,,,,,,
16-HK,Sun Hung Kai Properties Limited,,,,,,,,,,,,
2382-HK,Sunny Optical Technology (Group) Co. Ltd.,,,,,,,,,,,,
669-HK,Techtronic Industries Co. Ltd.,,,,,,,,,,,,
700-HK,Tencent Holdings Ltd.,,,,,,,,,,,,
288-HK,WH Group Ltd. (HK),,,,,,,,,,,,
1997-HK,Wharf Real Estate Investment Co. Ltd.,,,,,,,,,,,,
2269-HK,Wuxi Biologics (Cayman) Inc.,,,,,,,,,,,,
1810-HK,Xiaomi Corp. Class B,,,,,,,,,,,,
868-HK,Xinyi Glass Holdings Limited,,,,,,,,,,,,
968-HK,Xinyi Solar Holdings Ltd.,,,,,,,,,,,,
